order_id,date_id,customer_id,store_id,product_id,quantity,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,profit,margin_pct
ORD000001,20250413,C00001,S08,P0013,1,1448.2,0,1448.2,0.0,1448.2,417.55,28.83
ORD000002,20241027,C00001,S08,P0020,1,931.98,10,931.98,93.2,838.78,319.78,38.12
ORD000002,20241027,C00001,S08,P0013,1,1448.2,0,1448.2,0.0,1448.2,417.55,28.83
ORD000002,20241027,C00001,S08,P0001,1,3435.35,0,3435.35,0.0,3435.35,1294.19,37.67
ORD000002,20241027,C00001,S08,P0003,2,3328.98,0,6657.96,0.0,6657.96,1950.54,29.3
ORD000003,20241221,C00001,S08,P0015,1,489.91,0,489.91,0.0,489.91,210.89,43.05
ORD000004,20251003,C00001,S08,P0017,1,1607.48,5,1607.48,80.37,1527.11,501.49,32.84
ORD000005,20250603,C00002,S04,P0017,1,1607.48,5,1607.48,80.37,1527.11,501.49,32.84
ORD000005,20250603,C00002,S04,P0022,1,2417.48,0,2417.48,0.0,2417.48,962.75,39.82
ORD000006,20241003,C00003,S06,P0006,1,477.0,0,477.0,0.0,477.0,158.13,33.15
ORD000007,20240419,C00003,S06,P0023,1,445.07,20,445.07,89.01,356.06,52.3,14.69
ORD000008,20240808,C00003,S06,P0011,3,3591.63,0,10774.89,0.0,10774.89,2803.86,26.02
ORD000009,20240212,C00003,S06,P0020,3,931.98,0,2795.94,0.0,2795.94,1238.94,44.31
ORD000009,20240212,C00003,S06,P0013,1,1448.2,0,1448.2,0.0,1448.2,417.55,28.83
ORD000009,20240212,C00003,S06,P0010,1,1590.3,0,1590.3,0.0,1590.3,694.94,43.7
ORD000010,20250316,C00003,S06,P0019,1,801.36,5,801.36,40.07,761.29,241.18,31.68
ORD000010,20250316,C00003,S06,P0013,1,1448.2,10,1448.2,144.82,1303.38,272.73,20.92
ORD000011,20240518,C00005,S02,P0017,2,1607.48,15,3214.96,482.24,2732.72,681.48,24.94
ORD000012,20240209,C00005,S02,P0018,1,585.14,10,585.14,58.51,526.63,190.52,36.18
ORD000012,20240209,C00005,S02,P0019,1,801.36,0,801.36,0.0,801.36,281.25,35.1
ORD000012,20240209,C00005,S02,P0014,1,668.87,0,668.87,0.0,668.87,260.24,38.91
ORD000013,20240213,C00005,S02,P0019,2,801.36,15,1602.72,240.41,1362.31,322.09,23.64
ORD000013,20240213,C00005,S02,P0013,3,1448.2,0,4344.6,0.0,4344.6,1252.65,28.83
ORD000014,20241110,C00005,S02,P0004,1,1517.39,15,1517.39,227.61,1289.78,394.62,30.6
ORD000015,20250919,C00005,S02,P0021,2,766.11,0,1532.22,0.0,1532.22,410.84,26.81
ORD000015,20250919,C00005,S02,P0014,2,668.87,0,1337.74,0.0,1337.74,520.48,38.91
ORD000015,20250919,C00005,S02,P0015,2,489.91,0,979.82,0.0,979.82,421.78,43.05
ORD000016,20250324,C00005,S02,P0014,3,668.87,0,2006.61,0.0,2006.61,780.72,38.91
ORD000016,20250324,C00005,S02,P0015,1,489.91,0,489.91,0.0,489.91,210.89,43.05
ORD000016,20250324,C00005,S02,P0009,1,1860.78,0,1860.78,0.0,1860.78,773.89,41.59
ORD000016,20250324,C00005,S02,P0023,2,445.07,5,890.14,44.51,845.63,238.11,28.16
ORD000017,20250428,C00005,S02,P0023,1,445.07,10,445.07,44.51,400.56,96.8,24.17
ORD000018,20250202,C00005,S02,P0016,1,764.06,0,764.06,0.0,764.06,239.27,31.32
ORD000019,20250928,C00005,S02,P0004,2,1517.39,15,3034.78,455.22,2579.56,789.24,30.6
ORD000019,20250928,C00005,S02,P0021,3,766.11,5,2298.33,114.92,2183.41,501.34,22.96
ORD000020,20251030,C00005,S02,P0019,1,801.36,0,801.36,0.0,801.36,281.25,35.1
ORD000020,20251030,C00005,S02,P0017,1,1607.48,0,1607.48,0.0,1607.48,581.86,36.2
ORD000021,20251014,C00005,S02,P0001,1,3435.35,0,3435.35,0.0,3435.35,1294.19,37.67
ORD000022,20250922,C00005,S02,P0005,1,623.81,0,623.81,0.0,623.81,216.56,34.72
ORD000023,20240624,C00005,S02,P0004,1,1517.39,0,1517.39,0.0,1517.39,622.23,41.01
ORD000023,20240624,C00005,S02,P0019,1,801.36,10,801.36,80.14,721.22,201.11,27.88
ORD000023,20240624,C00005,S02,P0002,1,12555.43,0,12555.43,0.0,12555.43,4504.71,35.88
ORD000024,20250329,C00005,S02,P0011,2,3591.63,0,7183.26,0.0,7183.26,1869.24,26.02
ORD000025,20250320,C00005,S02,P0002,2,12555.43,0,25110.86,0.0,25110.86,9009.42,35.88
ORD000025,20250320,C00005,S02,P0009,1,1860.78,0,1860.78,0.0,1860.78,773.89,41.59
ORD000026,20250208,C00005,S02,P0004,2,1517.39,0,3034.78,0.0,3034.78,1244.46,41.01
ORD000026,20250208,C00005,S02,P0015,1,489.91,5,489.91,24.5,465.41,186.39,40.05
ORD000027,20250103,C00005,S02,P0018,2,585.14,0,1170.28,0.0,1170.28,498.06,42.56
ORD000027,20250103,C00005,S02,P0015,3,489.91,0,1469.73,0.0,1469.73,632.67,43.05
ORD000028,20240411,C00005,S02,P0005,3,623.81,0,1871.43,0.0,1871.43,649.68,34.72
ORD000028,20240411,C00005,S02,P0003,2,3328.98,20,6657.96,1331.59,5326.37,618.95,11.62
ORD000028,20240411,C00005,S02,P0019,1,801.36,5,801.36,40.07,761.29,241.18,31.68
ORD000028,20240411,C00005,S02,P0002,2,12555.43,0,25110.86,0.0,25110.86,9009.42,35.88
ORD000029,20240213,C00006,S07,P0013,2,1448.2,0,2896.4,0.0,2896.4,835.1,28.83
ORD000029,20240213,C00006,S07,P0003,1,3328.98,5,3328.98,166.45,3162.53,808.82,25.58
ORD000030,20240530,C00006,S07,P0009,1,1860.78,15,1860.78,279.12,1581.66,494.77,31.28
ORD000030,20240530,C00006,S07,P0015,1,489.91,5,489.91,24.5,465.41,186.39,40.05
ORD000030,20240530,C00006,S07,P0012,1,4908.73,5,4908.73,245.44,4663.29,1015.48,21.78
ORD000031,20241206,C00006,S07,P0017,1,1607.48,0,1607.48,0.0,1607.48,581.86,36.2
ORD000032,20240117,C00006,S07,P0010,3,1590.3,0,4770.9,0.0,4770.9,2084.82,43.7
ORD000032,20240117,C00006,S07,P0003,1,3328.98,0,3328.98,0.0,3328.98,975.27,29.3
ORD000033,20240501,C00006,S07,P0002,1,12555.43,0,12555.43,0.0,12555.43,4504.71,35.88
ORD000034,20240525,C00007,S07,P0017,2,1607.48,0,3214.96,0.0,3214.96,1163.72,36.2
ORD000034,20240525,C00007,S07,P0007,1,2115.17,0,2115.17,0.0,2115.17,932.18,44.07
ORD000034,20240525,C00007,S07,P0002,1,12555.43,5,12555.43,627.77,11927.66,3876.94,32.5
ORD000035,20250712,C00007,S07,P0001,1,3435.35,10,3435.35,343.54,3091.81,950.65,30.75
ORD000035,20250712,C00007,S07,P0003,1,3328.98,0,3328.98,0.0,3328.98,975.27,29.3
ORD000035,20250712,C00007,S07,P0021,2,766.11,5,1532.22,76.61,1455.61,334.23,22.96
ORD000035,20250712,C00007,S07,P0013,2,1448.2,0,2896.4,0.0,2896.4,835.1,28.83
ORD000036,20241219,C00007,S07,P0014,2,668.87,5,1337.74,66.89,1270.85,453.59,35.69
ORD000037,20241204,C00007,S07,P0020,1,931.98,15,931.98,139.8,792.18,273.18,34.48
ORD000037,20241204,C00007,S07,P0013,1,1448.2,0,1448.2,0.0,1448.2,417.55,28.83
ORD000038,20251011,C00007,S07,P0006,1,477.0,0,477.0,0.0,477.0,158.13,33.15
ORD000038,20251011,C00007,S07,P0002,1,12555.43,0,12555.43,0.0,12555.43,4504.71,35.88
ORD000038,20251011,C00007,S07,P0015,1,489.91,0,489.91,0.0,489.91,210.89,43.05
ORD000039,20250614,C00007,S07,P0012,1,4908.73,5,4908.73,245.44,4663.29,1015.48,21.78
ORD000040,20240127,C00007,S07,P0013,1,1448.2,10,1448.2,144.82,1303.38,272.73,20.92
ORD000040,20240127,C00007,S07,P0012,1,4908.73,0,4908.73,0.0,4908.73,1260.92,25.69
ORD000040,20240127,C00007,S07,P0023,1,445.07,5,445.07,22.25,422.82,119.06,28.16
ORD000040,20240127,C00007,S07,P0011,1,3591.63,0,3591.63,0.0,3591.63,934.62,26.02
ORD000041,20240831,C00007,S07,P0008,1,4597.53,0,4597.53,0.0,4597.53,1510.25,32.85
ORD000042,20251022,C00007,S07,P0018,1,585.14,0,585.14,0.0,585.14,249.03,42.56
ORD000043,20240115,C00007,S07,P0017,1,1607.48,0,1607.48,0.0,1607.48,581.86,36.2
ORD000044,20250205,C00007,S07,P0013,1,1448.2,0,1448.2,0.0,1448.2,417.55,28.83
ORD000044,20250205,C00007,S07,P0001,1,3435.35,0,3435.35,0.0,3435.35,1294.19,37.67
ORD000045,20250702,C00007,S07,P0008,1,4597.53,0,4597.53,0.0,4597.53,1510.25,32.85
ORD000046,20250405,C00007,S07,P0022,1,2417.48,0,2417.48,0.0,2417.48,962.75,39.82
ORD000047,20250802,C00007,S07,P0020,1,931.98,10,931.98,93.2,838.78,319.78,38.12
ORD000047,20250802,C00007,S07,P0019,1,801.36,0,801.36,0.0,801.36,281.25,35.1
ORD000047,20250802,C00007,S07,P0018,3,585.14,10,1755.42,175.54,1579.88,571.55,36.18
ORD000048,20250630,C00007,S07,P0022,1,2417.48,0,2417.48,0.0,2417.48,962.75,39.82
ORD000049,20250530,C00007,S07,P0016,1,764.06,5,764.06,38.2,725.86,201.07,27.7
ORD000049,20250530,C00007,S07,P0019,2,801.36,0,1602.72,0.0,1602.72,562.5,35.1
ORD000049,20250530,C00007,S07,P0014,1,668.87,0,668.87,0.0,668.87,260.24,38.91
ORD000050,20250519,C00008,S03,P0004,2,1517.39,5,3034.78,151.74,2883.04,1092.72,37.9
ORD000050,20250519,C00008,S03,P0018,2,585.14,15,1170.28,175.54,994.74,322.52,32.42
