customer_id,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,rfm_total,segment
C00001,90,4,15845.51,2,2,2,222,6,Lost
C00002,212,1,3944.59,2,1,1,211,4,Lost
C00003,291,5,19507.06,1,3,2,132,6,Potential Loyalist
C00005,63,18,121333.66,3,5,5,355,13,Loyal Customers
C00006,391,5,35032.08,1,3,3,133,7,Potential Loyalist
C00007,71,16,87277.67,3,5,5,355,13,Loyal Customers
C00008,227,1,3877.78,1,1,1,111,3,Lost
C00009,264,5,18340.66,1,3,2,132,6,Potential Loyalist
C00010,92,2,18868.84,2,1,2,212,5,Lost
C00011,47,12,41118.88,3,5,4,354,12,Loyal Customers
C00013,30,7,48789.95,4,3,4,434,11,Loyal Customers
C00014,45,11,45165.25,3,4,4,344,11,Loyal Customers
C00015,11,17,92024.08,5,5,5,555,15,Champions
C00016,1,8,46324.63,5,4,4,544,13,Champions
C00017,458,1,4055.26,1,1,1,111,3,Lost
C00018,236,1,1590.3,1,1,1,111,3,Lost
C00020,55,19,102743.2,3,5,5,355,13,Loyal Customers
C00021,12,9,24488.34,5,4,3,543,12,Loyal Customers
C00022,35,12,39582.52,4,5,4,454,13,Champions
C00023,37,17,109209.15,4,5,5,455,14,Champions
C00024,55,2,14033.65,3,1,2,312,6,Potential Loyalist
C00025,84,18,67899.24,2,5,5,255,12,At Risk
C00026,44,19,126777.05,3,5,5,355,13,Loyal Customers
C00027,1,30,134228.43,5,5,5,555,15,Champions
C00028,126,2,2371.54,2,1,1,211,4,Lost
C00030,34,15,121945.37,4,5,5,455,14,Champions
C00031,222,6,17864.47,1,3,2,132,6,Potential Loyalist
C00032,45,4,24944.7,3,2,3,323,8,Potential Loyalist
C00033,176,5,46092.81,2,3,4,234,9,Potential Loyalist
C00034,120,2,6804.58,2,1,1,211,4,Lost
C00035,2,14,90958.78,5,5,5,555,15,Champions
C00036,145,6,39000.54,2,3,4,234,9,Potential Loyalist
C00037,118,10,97178.41,2,4,5,245,11,At Risk
C00038,112,2,27836.44,2,1,3,213,6,Potential Loyalist
C00039,1,4,46237.65,5,2,4,524,11,New Customers
C00040,245,7,44319.41,1,3,4,134,8,Potential Loyalist
C00041,20,11,59880.34,4,4,4,444,12,Champions
C00042,73,9,22307.48,3,4,3,343,10,Loyal Customers
C00043,7,21,83981.82,5,5,5,555,15,Champions
C00044,49,7,33583.45,3,3,3,333,9,Loyal Customers
C00045,14,13,59013.26,5,5,4,554,14,Champions
C00047,4,5,6482.49,5,3,1,531,9,Loyal Customers
C00048,2,20,95051.19,5,5,5,555,15,Champions
C00049,92,2,2865.91,2,1,1,211,4,Lost
C00050,517,1,3328.98,1,1,1,111,3,Lost
C00051,13,10,36816.88,5,4,3,543,12,Loyal Customers
C00052,169,6,13510.41,2,3,2,232,7,Potential Loyalist
C00053,27,19,66658.06,4,5,5,455,14,Champions
C00054,15,27,112469.96,5,5,5,555,15,Champions
C00055,219,3,14213.83,1,1,2,112,4,Lost
C00056,117,6,51313.81,2,3,4,234,9,Potential Loyalist
C00057,14,15,75893.13,5,5,5,555,15,Champions
C00058,31,5,23654.88,4,3,3,433,10,Loyal Customers
C00059,36,11,49902.03,4,4,4,444,12,Champions
C00060,289,3,13877.92,1,1,2,112,4,Lost
C00061,25,3,9785.89,4,1,1,411,6,New Customers
C00062,381,2,6268.65,1,1,1,111,3,Lost
C00063,37,7,34056.65,4,3,3,433,10,Loyal Customers
C00064,144,2,16101.87,2,1,2,212,5,Lost
C00065,89,8,73716.5,2,4,5,245,11,At Risk
C00066,46,7,28140.46,3,3,3,333,9,Loyal Customers
C00067,277,2,28926.89,1,1,3,113,5,Potential Loyalist
C00068,49,13,46822.83,3,5,4,354,12,Loyal Customers
C00069,60,3,3585.4,3,1,1,311,5,Potential Loyalist
C00070,80,4,30201.95,3,2,3,323,8,Potential Loyalist
C00071,42,9,28159.53,4,4,3,443,11,Loyal Customers
C00072,5,4,8052.89,5,2,1,521,8,New Customers
C00073,75,11,93884.58,3,4,5,345,12,Loyal Customers
C00074,284,3,13871.67,1,1,2,112,4,Lost
C00075,226,3,13193.73,1,1,2,112,4,Lost
C00076,597,1,17421.78,1,1,2,112,4,Lost
C00077,115,3,14522.52,2,1,2,212,5,Lost
C00078,79,11,68714.02,3,4,5,345,12,Loyal Customers
C00079,6,8,91704.66,5,4,5,545,14,Champions
C00080,34,11,23795.48,4,4,3,443,11,Loyal Customers
C00081,10,5,19650.31,5,3,2,532,10,Loyal Customers
C00082,184,3,3674.03,2,1,1,211,4,Lost
